value,label,short-label
o1,AI・数理データについて詳しく学ぶことができる仕組みがある,AI・数理データ
o2,サイバーセキュリティについて詳しく学ぶことができる仕組みがある,サイバーセキュリティ
o3,ロボットについて詳しく学ぶことができる仕組みがある,ロボット
o4,IoTについて詳しく学ぶことができる仕組みがある,IoT
o5,半導体について詳しく学ぶことができる仕組みがある,半導体
o6,蓄電池について詳しく学ぶことができる仕組みがある,蓄電池
o7,再生可能エネルギー（風力）について詳しく学ぶことができる仕組みがある,再生可能エネルギー（風力）
o8,入学時から学科・コースが決まっている,入学時学科決定
o9,入学後に学科・コースが決まる,入学後学科決定
o10,混合学級制（学科を越えた人間関係を育むことができるクラス制度）を導入している,混合学級制
o11,副専攻制度（主専攻とは別の分野を学ぶ仕組み）を導入している,副専攻制度
o12,社会実装型教育（社会課題を現場で解決し、実際に社会に役立てる実践型教育）に注力している,社会実装型教育
o13,PBL（課題解決型学習）（課題発見から解決までを実践するチーム型学習）に注力している,PBL（課題解決型学習）
o14,リベラルアーツ教育（幅広い分野を横断して学び、思考力を育てる教育）に注力している,リベラルアーツ教育
o15,アントレプレナーシップ教育（課題発見と挑戦を通じて価値創出を学ぶ教育）に注力している,アントレプレナーシップ教育
o16,スタートアップ支援（起業や新しい挑戦をサポートする取り組み）に注力している,スタートアップ支援
o17,学習支援制度が充実している,学習支援制度
o18,悩み相談の体制が充実している,悩み相談体制
o19,学校独自の奨学金制度が充実している,学校独自の奨学金制度
o20,コンテスト（ロボコン・プロコン等）への参加に力を入れている,コンテスト参加
o21,課外活動が活発,課外活動が活発
o22,独自の学校行事・正課活動に力を入れている,独自の学校行事・正課活動
o23,寮に活気がある,寮に活気がある
o24,留学制度が充実している,留学制度が充実
o25,留学生と交流する機会が多い,留学生との交流
o26,制服がある,制服あり
o27,制服がない,制服なし
o28,学力入試において公立高校と併願可,公立高校と併願可
o29,複数校志望受験制度参加校（一部学科のみで実施している高専があります）,複数校志望受験制度
o30,帰国生徒選抜入試を実施している,帰国生徒選抜入試
